molecule_hash,smiles,pre-selection_counts,target_replicate_1,target_replicate_2,target_replicate_3
hash_0,C,26,200,180,1000
hash_1,CC,19,200,180,1000
hash_2,CCC,17,200,180,1000
hash_3,CCCC,14,200,180,1000
hash_4,CCCCC,16,200,180,1000
hash_5,CCCCCC,19,200,180,1000
hash_6,CCCCCCC,18,200,180,1000
hash_7,CCCCCCCC,28,200,180,1000
hash_8,CCCCCCCCC,21,200,180,1000
hash_9,CCCCCCCCCC,16,200,180,1000
hash_10,C,19,4,7,24
hash_11,CC,25,5,8,32
hash_12,CCC,23,5,2,25
hash_13,CCCC,20,3,2,26
hash_14,CCCCC,15,10,6,19
hash_15,CCCCCC,14,4,3,24
hash_16,CCCCCCC,15,5,2,21
hash_17,CCCCCCCC,16,5,5,28
hash_18,CCCCCCCCC,20,3,6,21
hash_19,CCCCCCCCCC,19,3,11,20
hash_20,C,15,6,6,32
hash_21,CC,17,2,8,22
hash_22,CCC,19,5,6,20
hash_23,CCCC,25,7,3,23
hash_24,CCCCC,15,4,3,25
hash_25,CCCCCC,23,5,4,19
hash_26,CCCCCCC,23,7,6,22
hash_27,CCCCCCCC,18,6,3,29
hash_28,CCCCCCCCC,17,5,3,23
hash_29,CCCCCCCCCC,24,7,7,37
hash_30,C,22,3,2,25
hash_31,CC,27,5,7,26
hash_32,CCC,18,2,4,17
hash_33,CCCC,22,6,6,25
hash_34,CCCCC,18,8,4,18
hash_35,CCCCCC,21,4,4,27
hash_36,CCCCCCC,19,6,6,26
hash_37,CCCCCCCC,18,5,5,21
hash_38,CCCCCCCCC,16,4,5,17
hash_39,CCCCCCCCCC,18,7,6,25
hash_40,C,20,5,5,19
hash_41,CC,19,6,2,30
hash_42,CCC,24,7,4,25
hash_43,CCCC,14,3,2,34
hash_44,CCCCC,27,5,6,22
hash_45,CCCCCC,16,10,4,15
hash_46,CCCCCCC,19,5,8,31
hash_47,CCCCCCCC,19,2,6,17
hash_48,CCCCCCCCC,24,6,7,27
hash_49,CCCCCCCCCC,20,4,7,33
