compound_id,molecule_hash,smiles,pre-selection_counts,target_replicate_1,target_replicate_2,target_replicate_3,input_count,selected_count,scaffold_id,log2_enrichment_mean,log2_enrichment_ci_low,log2_enrichment_ci_high,prob_enriched,scaffold_log2_enrichment
0,hash_0,C,26.0,200.0,180.0,1000.0,26,582,hash_0,4.820705877176733,4.26080385311285,5.380607901240617,1.0,4.820705877176733
1,hash_1,CC,19.0,200.0,180.0,1000.0,19,582,hash_1,5.260028461115411,4.6117920603619575,5.908264861868864,1.0,5.260028461115411
2,hash_2,CCC,17.0,200.0,180.0,1000.0,17,582,hash_2,5.414760642608663,4.731950536641493,6.0975707485758335,1.0,5.414760642608663
3,hash_3,CCCC,14.0,200.0,180.0,1000.0,14,582,hash_3,5.6832567206363604,4.935743102374211,6.43077033889851,1.0,5.6832567206363604
4,hash_4,CCCCC,16.0,200.0,180.0,1000.0,16,582,hash_4,5.498828698302276,4.796419335601287,6.201238061003265,1.0,5.498828698302276
5,hash_5,CCCCCC,19.0,200.0,180.0,1000.0,19,582,hash_5,5.260028461115411,4.6117920603619575,5.908264861868864,1.0,5.260028461115411
6,hash_6,CCCCCCC,18.0,200.0,180.0,1000.0,18,582,hash_6,5.335321620721229,4.6704999218003636,6.000143319642094,1.0,5.335321620721229
7,hash_7,CCCCCCCC,28.0,200.0,180.0,1000.0,28,582,hash_7,4.716359350655153,4.175461798449032,5.257256902861274,1.0,4.716359350655153
8,hash_8,CCCCCCCCC,21.0,200.0,180.0,1000.0,21,582,hash_8,5.120292936359865,4.501678135239882,5.738907737479849,1.0,5.120292936359865
9,hash_9,CCCCCCCCCC,16.0,200.0,180.0,1000.0,16,582,hash_9,5.498828698302276,4.796419335601287,6.201238061003265,1.0,5.498828698302276
10,hash_10,C,19.0,4.0,7.0,24.0,19,16,hash_10,0.1321379885978989,-0.8092630197708699,1.0735389969666675,0.6083828571980419,0.1321379885978989
11,hash_11,CC,25.0,5.0,8.0,32.0,25,19,hash_11,-0.013237651873440035,-0.8606039895248238,0.8341286857779434,0.4877867836532169,-0.013237651873440035
12,hash_12,CCC,23.0,5.0,2.0,25.0,23,12,hash_12,-0.5309122420105102,-1.5152662547146933,0.45344177069367264,0.14523106412562226,-0.5309122420105102
13,hash_13,CCCC,20.0,3.0,2.0,26.0,20,10,hash_13,-0.5832393263668176,-1.6491860735970416,0.4827074208634061,0.14176877566931956,-0.5832393263668176
14,hash_14,CCCCC,15.0,10.0,6.0,19.0,15,20,hash_14,0.7705669879462909,-0.17662794227538603,1.7177619181679675,0.9445857368897426,0.7705669879462909
15,hash_15,CCCCCC,14.0,4.0,3.0,24.0,14,12,hash_15,0.1594418038031612,-0.9250997890175542,1.2439833966238765,0.6133803461657845,0.1594418038031612
16,hash_16,CCCCCCC,15.0,5.0,2.0,21.0,15,11,hash_16,-0.054348829836924364,-1.147742316203001,1.039044656529152,0.46119521272093056,-0.054348829836924364
17,hash_17,CCCCCCCC,16.0,5.0,5.0,28.0,16,16,hash_17,0.37093822578476376,-0.6085536527450953,1.3504301043146225,0.7710313539644442,0.37093822578476376
18,hash_18,CCCCCCCCC,20.0,3.0,6.0,21.0,20,13,hash_18,-0.22572638551836446,-1.2115426387035688,0.7600898676668397,0.3267948296734282,-0.22572638551836446
19,hash_19,CCCCCCCCCC,19.0,3.0,11.0,20.0,19,18,hash_19,0.29564506617894626,-0.6180533726419543,1.2093435049998464,0.7370198941748738,0.29564506617894626
20,hash_20,C,15.0,6.0,6.0,32.0,15,18,hash_20,0.6237152563168129,-0.34511206692258656,1.5925425795562123,0.8964883413871646,0.6237152563168129
21,hash_21,CC,17.0,2.0,8.0,22.0,17,14,hash_21,0.10244214775706664,-0.8963835451364439,1.101267840650577,0.5796581327184123,0.10244214775706664
22,hash_22,CCC,19.0,5.0,6.0,20.0,19,15,hash_22,0.042868035646897146,-0.9146542472066073,1.0003903185004013,0.5349611592255282,0.042868035646897146
23,hash_23,CCCC,25.0,7.0,3.0,23.0,25,15,hash_23,-0.34130784201130665,-1.2478459026222155,0.5652302185996021,0.23028203097724842,-0.34130784201130665
24,hash_24,CCCCC,15.0,4.0,3.0,25.0,15,12,hash_24,0.06428373442007851,-1.0041009498037194,1.1326684186438762,0.5469381414972145,0.06428373442007851
25,hash_25,CCCCCC,23.0,5.0,4.0,19.0,23,13,hash_25,-0.42129359978742614,-1.3819147037414068,0.5393275041665544,0.19501328857884914,-0.42129359978742614
26,hash_26,CCCCCCC,23.0,7.0,6.0,22.0,23,17,hash_26,-0.05091974200121059,-0.9399501804862684,0.838110696483847,0.4553093848697952,-0.05091974200121059
27,hash_27,CCCCCCCC,18.0,6.0,3.0,29.0,18,15,hash_27,0.11816119525271467,-0.8506661279866848,1.086988518492114,0.5944639989988074,0.11816119525271467
28,hash_28,CCCCCCCCC,17.0,5.0,3.0,23.0,17,13,hash_28,0.0005643679985482155,-1.0180246467255254,1.0191533827226218,0.5004332329333974,0.0005643679985482155
29,hash_29,CCCCCCCCCC,24.0,7.0,7.0,37.0,24,21,hash_29,0.183836329271551,-0.6487098314918555,1.0163824900349572,0.6674141189657475,0.183836329271551
30,hash_30,C,22.0,3.0,2.0,25.0,22,10,hash_30,-0.7165167985500509,-1.7663294458598062,0.3332958487597042,0.09049514656105495,-0.7165167985500509
31,hash_31,CC,27.0,5.0,7.0,26.0,27,17,hash_31,-0.27623288509724075,-1.1373532871190821,0.5848875169246004,0.2647650934663226,-0.27623288509724075
32,hash_32,CCC,18.0,2.0,4.0,17.0,18,9,hash_32,-0.5783706419344335,-1.6986970658129383,0.5419557819440709,0.15580844604528954,-0.5783706419344335
33,hash_33,CCCC,22.0,6.0,6.0,25.0,22,17,hash_33,0.011370000084617849,-0.8860039614030695,0.908743961572305,0.5099060502118449,0.011370000084617849
34,hash_34,CCCCC,18.0,8.0,4.0,18.0,18,16,hash_34,0.20743114820371641,-0.7454661802907905,1.1603284766982231,0.6651843670636393,0.20743114820371641
35,hash_35,CCCCCC,21.0,4.0,4.0,27.0,21,13,hash_35,-0.2939033382502493,-1.2706214205392885,0.6828147440387898,0.27767210824770683,-0.2939033382502493
36,hash_36,CCCCCCC,19.0,6.0,6.0,26.0,19,17,hash_36,0.21620604429151158,-0.710663194899553,1.143075283482576,0.6762330335715081,0.21620604429151158
