compound_id,molecule_hash,smiles,pre-selection_counts,target_replicate_1,target_replicate_2,target_replicate_3,input_count,selected_count,scaffold_id
0,hash_0,C,26.0,200.0,180.0,1000.0,26,582,hash_0
1,hash_1,CC,19.0,200.0,180.0,1000.0,19,582,hash_1
2,hash_2,CCC,17.0,200.0,180.0,1000.0,17,582,hash_2
3,hash_3,CCCC,14.0,200.0,180.0,1000.0,14,582,hash_3
4,hash_4,CCCCC,16.0,200.0,180.0,1000.0,16,582,hash_4
5,hash_5,CCCCCC,19.0,200.0,180.0,1000.0,19,582,hash_5
6,hash_6,CCCCCCC,18.0,200.0,180.0,1000.0,18,582,hash_6
7,hash_7,CCCCCCCC,28.0,200.0,180.0,1000.0,28,582,hash_7
8,hash_8,CCCCCCCCC,21.0,200.0,180.0,1000.0,21,582,hash_8
9,hash_9,CCCCCCCCCC,16.0,200.0,180.0,1000.0,16,582,hash_9
10,hash_10,C,19.0,4.0,7.0,24.0,19,16,hash_10
11,hash_11,CC,25.0,5.0,8.0,32.0,25,19,hash_11
12,hash_12,CCC,23.0,5.0,2.0,25.0,23,12,hash_12
13,hash_13,CCCC,20.0,3.0,2.0,26.0,20,10,hash_13
14,hash_14,CCCCC,15.0,10.0,6.0,19.0,15,20,hash_14
15,hash_15,CCCCCC,14.0,4.0,3.0,24.0,14,12,hash_15
16,hash_16,CCCCCCC,15.0,5.0,2.0,21.0,15,11,hash_16
17,hash_17,CCCCCCCC,16.0,5.0,5.0,28.0,16,16,hash_17
18,hash_18,CCCCCCCCC,20.0,3.0,6.0,21.0,20,13,hash_18
19,hash_19,CCCCCCCCCC,19.0,3.0,11.0,20.0,19,18,hash_19
20,hash_20,C,15.0,6.0,6.0,32.0,15,18,hash_20
21,hash_21,CC,17.0,2.0,8.0,22.0,17,14,hash_21
22,hash_22,CCC,19.0,5.0,6.0,20.0,19,15,hash_22
23,hash_23,CCCC,25.0,7.0,3.0,23.0,25,15,hash_23
24,hash_24,CCCCC,15.0,4.0,3.0,25.0,15,12,hash_24
25,hash_25,CCCCCC,23.0,5.0,4.0,19.0,23,13,hash_25
26,hash_26,CCCCCCC,23.0,7.0,6.0,22.0,23,17,hash_26
27,hash_27,CCCCCCCC,18.0,6.0,3.0,29.0,18,15,hash_27
28,hash_28,CCCCCCCCC,17.0,5.0,3.0,23.0,17,13,hash_28
29,hash_29,CCCCCCCCCC,24.0,7.0,7.0,37.0,24,21,hash_29
30,hash_30,C,22.0,3.0,2.0,25.0,22,10,hash_30
31,hash_31,CC,27.0,5.0,7.0,26.0,27,17,hash_31
32,hash_32,CCC,18.0,2.0,4.0,17.0,18,9,hash_32
33,hash_33,CCCC,22.0,6.0,6.0,25.0,22,17,hash_33
34,hash_34,CCCCC,18.0,8.0,4.0,18.0,18,16,hash_34
35,hash_35,CCCCCC,21.0,4.0,4.0,27.0,21,13,hash_35
36,hash_36,CCCCCCC,19.0,6.0,6.0,26.0,19,17,hash_36
37,hash_37,CCCCCCCC,18.0,5.0,5.0,21.0,18,14,hash_37
38,hash_38,CCCCCCCCC,16.0,4.0,5.0,17.0,16,12,hash_38
39,hash_39,CCCCCCCCCC,18.0,7.0,6.0,25.0,18,18,hash_39
40,hash_40,C,20.0,5.0,5.0,19.0,20,14,hash_40
41,hash_41,CC,19.0,6.0,2.0,30.0,19,14,hash_41
42,hash_42,CCC,24.0,7.0,4.0,25.0,24,16,hash_42
43,hash_43,CCCC,14.0,3.0,2.0,34.0,14,12,hash_43
44,hash_44,CCCCC,27.0,5.0,6.0,22.0,27,15,hash_44
45,hash_45,CCCCCC,16.0,10.0,4.0,15.0,16,17,hash_45
46,hash_46,CCCCCCC,19.0,5.0,8.0,31.0,19,19,hash_46
47,hash_47,CCCCCCCC,19.0,2.0,6.0,17.0,19,11,hash_47
48,hash_48,CCCCCCCCC,24.0,6.0,7.0,27.0,24,18,hash_48
49,hash_49,CCCCCCCCCC,20.0,4.0,7.0,33.0,20,18,hash_49
50,hash_50,C,20.0,4.0,4.0,30.0,20,14,hash_50
51,hash_51,CC,15.0,5.0,9.0,28.0,15,20,hash_51
52,hash_52,CCC,28.0,6.0,3.0,23.0,28,14,hash_52
53,hash_53,CCCC,26.0,2.0,9.0,28.0,26,17,hash_53
54,hash_54,CCCCC,18.0,4.0,8.0,22.0,18,16,hash_54
55,hash_55,CCCCCC,21.0,4.0,7.0,30.0,21,17,hash_55
56,hash_56,CCCCCCC,22.0,3.0,5.0,21.0,22,12,hash_56
57,hash_57,CCCCCCCC,18.0,5.0,4.0,25.0,18,14,hash_57
58,hash_58,CCCCCCCCC,23.0,5.0,2.0,16.0,23,10,hash_58
59,hash_59,CCCCCCCCCC,23.0,9.0,6.0,25.0,23,20,hash_59
60,hash_60,C,21.0,10.0,6.0,31.0,21,22,hash_60
61,hash_61,CC,15.0,7.0,5.0,24.0,15,17,hash_61
62,hash_62,CCC,16.0,2.0,8.0,20.0,16,14,hash_62
63,hash_63,CCCC,21.0,4.0,3.0,28.0,21,13,hash_63
64,hash_64,CCCCC,20.0,8.0,7.0,18.0,20,19,hash_64
65,hash_65,CCCCCC,30.0,4.0,4.0,18.0,30,12,hash_65
66,hash_66,CCCCCCC,23.0,5.0,2.0,35.0,23,14,hash_66
67,hash_67,CCCCCCCC,19.0,5.0,1.0,30.0,19,12,hash_67
68,hash_68,CCCCCCCCC,19.0,4.0,5.0,31.0,19,15,hash_68
