compound_id,is_hit,true_capture_prob,input_count,selected_count,scaffold_id
0,False,0.001,410,0,0
1,False,0.001,41,0,0
2,False,0.001,133,88,0
3,False,0.001,491,0,0
4,False,0.001,22,0,0
5,False,0.001,36,0,0
6,False,0.001,405,95,0
7,False,0.001,928,93,0
8,False,0.001,1135,87,0
9,False,0.001,295,0,0
10,False,0.001,521,95,0
11,False,0.001,233,0,0
12,False,0.001,330,0,0
13,False,0.001,55,0,0
14,False,0.001,1124,0,0
15,False,0.001,369,0,0
16,False,0.001,499,0,0
17,False,0.001,17,0,0
18,False,0.001,463,87,0
19,False,0.001,466,0,0
20,False,0.001,348,0,0
21,False,0.001,195,0,0
22,False,0.001,491,0,0
23,False,0.001,458,109,0
24,False,0.001,275,0,0
25,False,0.001,136,0,0
26,True,0.02,702,958,0
27,False,0.001,303,0,0
28,False,0.001,339,82,0
29,False,0.001,54,0,0
30,False,0.001,82,103,0
31,False,0.001,949,79,0
32,False,0.001,327,0,0
33,False,0.001,10,0,0
34,False,0.001,507,0,0
35,False,0.001,161,0,0
36,False,0.001,845,0,0
37,False,0.001,419,74,0
38,False,0.001,401,0,0
39,False,0.001,232,0,0
40,False,0.001,5,0,0
41,False,0.001,2229,81,0
42,False,0.001,174,0,0
43,False,0.001,863,0,0
44,False,0.001,49,0,0
45,False,0.001,1348,100,0
46,False,0.001,3,0,0
47,False,0.001,409,0,0
48,False,0.001,28,0,0
49,False,0.001,54,0,0
50,False,0.001,772,0,0
51,False,0.001,1184,0,0
52,False,0.001,303,0,0
53,False,0.001,467,94,0
54,False,0.001,414,0,0
55,False,0.001,229,92,0
56,False,0.001,842,84,0
57,False,0.001,695,107,0
58,False,0.001,140,0,0
59,False,0.001,237,0,0
60,False,0.001,498,0,0
61,False,0.001,451,0,0
62,False,0.001,31,0,0
63,False,0.001,2503,85,0
64,False,0.001,1,0,0
65,False,0.001,478,69,0
66,False,0.001,437,79,0
67,False,0.001,121,0,0
68,False,0.001,297,0,0
69,False,0.001,171,0,0
70,False,0.001,12,0,0
71,False,0.001,320,258,0
72,False,0.001,340,159,0
73,False,0.001,482,0,0
74,False,0.001,1997,168,0
75,False,0.001,61,0,0
76,False,0.001,126,0,0
77,False,0.001,183,0,0
78,False,0.001,63,0,0
79,False,0.001,206,0,0
80,False,0.001,1234,299,0
81,False,0.001,399,0,0
